Day,Month,Year,Valor COLCAP,Variacion absoluta,Variacion porcentual
20,4,2009,878.58,-6.42,-0.007254
21,4,2009,880.4,1.82,0.002072
22,4,2009,881.55,1.15,0.001306
23,4,2009,891.19,9.64,0.010935
24,4,2009,914.93,23.74,0.026639
27,4,2009,912.5,-2.43,-0.002656
28,4,2009,918.25,5.75,0.006301
29,4,2009,933.82,15.57,0.016956
30,4,2009,931.93,-1.89,-0.002024
4,5,2009,947.85,15.92,0.017083
5,5,2009,953.11,5.26,0.005549
6,5,2009,960.78,7.67,0.008047
7,5,2009,973.07,12.29,0.012792
8,5,2009,1004.96,31.89,0.032773
11,5,2009,996.84,-8.12,-0.00808
12,5,2009,1003.38,6.54,0.006561
13,5,2009,989,-14.38,-0.014332
14,5,2009,1001.37,12.37,0.012508
15,5,2009,1001.45,0.08,0.00008
18,5,2009,1012.19,10.74,0.010724
19,5,2009,1022.41,10.22,0.010097
20,5,2009,1024.78,2.37,0.002318
21,5,2009,1007.56,-17.22,-0.016804
22,5,2009,1008.43,0.87,0.000863
26,5,2009,1016.43,8,0.007933
27,5,2009,1012.49,-3.94,-0.003876
28,5,2009,1024.05,11.56,0.011417
29,5,2009,1031.53,7.48,0.007304
1,6,2009,1054.15,22.62,0.021929
2,6,2009,1049.71,-4.44,-0.004212
3,6,2009,1042.32,-7.39,-0.00704
4,6,2009,1052.39,10.07,0.009661
5,6,2009,1052.93,0.54,0.000513
8,6,2009,1048.86,-4.07,-0.003865
9,6,2009,1051.36,2.5,0.002384
10,6,2009,1056.77,5.41,0.005146
11,6,2009,1074.78,18.01,0.017042
12,6,2009,1076.81,2.03,0.001889
16,6,2009,1066.41,-10.4,-0.009658
17,6,2009,1072.41,6,0.005626
18,6,2009,1079.22,6.81,0.00635
19,6,2009,1090.73,11.51,0.010665
23,6,2009,1089.32,-1.41,-0.001293
24,6,2009,1090.37,1.05,0.000964
25,6,2009,1098.87,8.5,0.007796
26,6,2009,1094.95,-3.92,-0.003567
30,6,2009,1102.73,7.78,0.007105
1,7,2009,1119.35,16.62,0.015072
2,7,2009,1119.53,0.18,0.000161
3,7,2009,1116.98,-2.55,-0.002278
6,7,2009,1110.83,-6.15,-0.005506
7,7,2009,1113.67,2.84,0.002557
8,7,2009,1103.93,-9.74,-0.008746
9,7,2009,1085.58,-18.35,-0.016622
10,7,2009,1083.01,-2.57,-0.002367
13,7,2009,1082.69,-0.32,-0.000295
14,7,2009,1089.24,6.55,0.00605
